"id"	"user_id"	"novel_id"	"status"	"updated_at"
"1"	"18"	"1"	"completed"	"22/10/2025 11:25:35"
"2"	"18"	"2"	"reading"	"22/10/2025 11:25:02"
"3"	"18"	"3"	"completed"	"22/10/2025 11:25:02"
"4"	"18"	"4"	"reading"	"22/10/2025 11:25:39"
"5"	"18"	"5"	"reading"	"22/10/2025 11:25:02"
"6"	"18"	"6"	"completed"	"22/10/2025 11:25:02"
"7"	"18"	"7"	"reading"	"22/10/2025 11:25:02"
"8"	"20"	"8"	"completed"	"22/10/2025 11:25:02"
"9"	"20"	"9"	"reading"	"22/10/2025 11:25:02"
"10"	"20"	"10"	"completed"	"22/10/2025 11:25:44"
"11"	"20"	"11"	"completed"	"22/10/2025 11:25:02"
"12"	"20"	"12"	"reading"	"22/10/2025 11:25:02"
"13"	"20"	"13"	"reading"	"22/10/2025 11:25:48"
"14"	"20"	"14"	"completed"	"22/10/2025 11:25:02"
"15"	"21"	"11"	"reading"	"22/10/2025 11:25:02"
"16"	"21"	"12"	"completed"	"22/10/2025 11:25:51"
"17"	"21"	"13"	"completed"	"22/10/2025 11:25:02"
"18"	"21"	"14"	"reading"	"22/10/2025 11:25:02"
"19"	"21"	"15"	"reading"	"22/10/2025 11:26:36"
"20"	"21"	"16"	"completed"	"22/10/2025 11:25:02"
